date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2022-06-02,VOO,363.2991638183594,384.90438385009764,-0.12363782791566169,0.6607730129878605,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-06-03,VOO,357.4186096191406,384.7989697265625,-0.13782309384614877,0.23398624265714804,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-06-06,VOO,358.3939514160156,384.69576141357425,-0.13547034233785904,0.38377617631997113,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-06-07,VOO,361.897705078125,384.59507583618165,-0.1270184727064998,0.8143329225181222,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-06-08,VOO,357.9393615722656,384.4576806640625,-0.13656691888565264,0.41379745701572673,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-06-09,VOO,349.5209655761719,384.27514709472655,-0.15687405012994982,-0.44471271517396194,57,BUY,0.3,1.0,0.17788508606958478,300.0
2022-06-10,VOO,339.2654724121094,384.0377751159668,-0.1816126874848858,-1.4913365844983997,70,BUY,0.3,1.0,0.5965346337993599,300.0
2022-06-13,VOO,326.1880187988281,383.7463096618652,-0.21315855049600285,-2.5290355689987685,82,STRONG_BUY,0.3,1.0,1.0,500.0
2022-06-14,VOO,325.3736572265625,383.43371383666994,-0.21512298022061827,-2.2908602217038645,79,STRONG_BUY,0.3,1.0,0.9163440886815458,500.0
2022-06-15,VOO,330.0326232910156,383.135509185791,-0.20388446930031034,-1.7088110458702606,73,BUY,0.3,1.0,0.6835244183481042,300.0
2022-06-16,VOO,319.1900329589844,382.7864192199707,-0.23003932172146913,-2.4470203740241017,81,STRONG_BUY,0.3,1.0,0.9788081496096407,500.0
2022-06-17,VOO,320.0234069824219,382.4394340515137,-0.22802902953785287,-2.122045130362168,77,STRONG_BUY,0.3,1.0,0.8488180521448673,500.0
2022-06-21,VOO,327.8641052246094,382.12584106445314,-0.20911543978454217,-1.3765521734314077,69,BUY,0.3,1.0,0.550620869372563,300.0
2022-06-22,VOO,327.17291259765625,381.8095420837402,-0.21078275733495677,-1.3374202374906652,68,BUY,0.3,1.0,0.5349680949962661,300.0
2022-06-23,VOO,330.61029052734375,381.5176469421387,-0.20249100142482812,-1.0094550473181505,64,BUY,0.3,1.0,0.4037820189272602,300.0
2022-06-24,VOO,340.90374755859375,381.2790937805176,-0.1776607863828985,-0.22025399424072153,55,BUY,0.3,1.0,0.08810159769628861,300.0
2022-06-27,VOO,339.6253662109375,381.0428648376465,-0.18074453984604788,-0.3127457968042808,56,BUY,0.3,1.0,0.12509831872171231,300.0
2022-06-28,VOO,332.28643798828125,380.78489074707034,-0.19844774348235938,-0.8219950962326985,62,BUY,0.3,1.0,0.3287980384930794,300.0
2022-06-29,VOO,332.45001220703125,380.5232353210449,-0.19805316438084397,-0.7638036825684841,61,BUY,0.3,1.0,0.30552147302739363,300.0
2022-06-30,VOO,329.82568359375,380.25844024658204,-0.20438365603302977,-0.8987550245722302,63,BUY,0.3,1.0,0.3595020098288921,300.0
2022-07-01,VOO,333.21063232421875,379.99458984375,-0.1962183715587973,-0.6197852423419942,59,BUY,0.3,1.0,0.24791409693679767,300.0
2022-07-05,VOO,333.80010986328125,379.73701416015626,-0.19479641448326146,-0.5601996116517232,59,BUY,0.3,1.0,0.22407984466068925,300.0
2022-07-06,VOO,335.0076599121094,379.5043615722656,-0.1915522660812522,-0.45894419317908386,58,BUY,0.3,1.0,0.18357767727163354,300.0
2022-07-07,VOO,339.9235534667969,379.327452545166,-0.16832400331696307,-0.08080070677098618,53,DCA_ONLY,0.3,1.0,0.032320282708394474,200.0
2022-07-08,VOO,339.7239074707031,379.15137268066405,-0.1688124683882758,-0.08761866857803928,53,DCA_ONLY,0.3,1.0,0.035047467431215715,200.0
2022-07-11,VOO,335.8825378417969,378.93799728393554,-0.17821097838314326,-0.34848548970456866,56,BUY,0.3,1.0,0.13939419588182747,300.0
2022-07-12,VOO,332.7827453613281,378.6862532043457,-0.18579510420911738,-0.5344392395759444,58,BUY,0.3,1.0,0.21377569583037775,300.0
2022-07-13,VOO,331.23291015625,378.4235737609863,-0.18958701779007414,-0.5991946405655364,59,BUY,0.3,1.0,0.23967785622621457,300.0
2022-07-14,VOO,330.358154296875,378.16195663452146,-0.1917272444492164,-0.615964378873392,59,BUY,0.3,1.0,0.24638575154935677,300.0
2022-07-15,VOO,336.6051940917969,377.9698147583008,-0.16518523895074966,-0.05557186321670667,53,DCA_ONLY,0.3,1.0,0.02222874528668267,200.0
2022-07-18,VOO,333.8192138671875,377.76079055786136,-0.17209475031990862,-0.2284606314568618,55,BUY,0.3,1.0,0.09138425258274471,300.0
2022-07-19,VOO,342.8805847167969,377.62086334228513,-0.14660363695139222,0.7013763085852782,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-20,VOO,345.07708740234375,377.4697267150879,-0.1411367558072748,1.0383930084513258,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-21,VOO,348.566650390625,377.35912307739255,-0.1324515735730929,1.6341179713705327,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-22,VOO,345.3908996582031,377.2146334838867,-0.14035570768216254,1.4610793554728443,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-25,VOO,345.73321533203125,377.0635333251953,-0.13950371732726752,1.571627316402004,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-26,VOO,341.5875244140625,376.87553115844725,-0.14982193804145683,0.9793535100288252,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-27,VOO,350.5348815917969,376.7358389282227,-0.1275528379094617,1.9898692291898612,52,DCA_ONLY,0.3,1.0,0.0,200.0
2022-07-28,VOO,354.9657287597656,376.6320767211914,-0.11652489107633346,2.2756572139037345,51,DCA_ONLY,0.3,0.9710407589694455,0.0,200.0
2022-07-29,VOO,360.16680908203125,376.5580812072754,-0.10357990897823299,2.493478923838061,46,DCA_ONLY,0.3,0.8631659081519416,0.0,200.0
2022-08-01,VOO,359.0828552246094,376.4726480102539,-0.10627776450248316,2.1889690275058156,47,DCA_ONLY,0.3,0.8856480375206931,0.0,200.0
2022-08-02,VOO,356.7628173828125,376.34401947021485,-0.1120521126125108,1.830970665009986,49,DCA_ONLY,0.3,0.9337676051042567,0.0,200.0
